country,width,state,region,index,text,href,url,visible,status,final_url
spain,768,menu-open,footer,39,Privacy Policy,/privacy-policy/,http://127.0.0.1:3029/privacy-policy/,True,200,http://127.0.0.1:3029/privacy-policy
spain,768,menu-open,footer,40,Dasar Privasi (BM),/ms/privacy-policy/,http://127.0.0.1:3029/ms/privacy-policy/,True,200,http://127.0.0.1:3029/ms/privacy-policy
spain,768,menu-open,footer,41,Cookie Policy,/cookie-policy/,http://127.0.0.1:3029/cookie-policy/,True,200,http://127.0.0.1:3029/cookie-policy
spain,390,default,header,0,TiO2 Malaysia home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
spain,390,default,header,1,Home,/,http://127.0.0.1:3029/,False,200,http://127.0.0.1:3029/
spain,390,default,header,2,Markets,/markets/,http://127.0.0.1:3029/markets/,False,200,http://127.0.0.1:3029/markets/
spain,390,default,header,3,Products,/products/,http://127.0.0.1:3029/products/,False,200,http://127.0.0.1:3029/products
spain,390,default,header,4,Applications,/applications/,http://127.0.0.1:3029/applications/,False,404,http://127.0.0.1:3029/applications
spain,390,default,header,5,Documents,/documents/,http://127.0.0.1:3029/documents/,False,200,http://127.0.0.1:3029/documents
spain,390,default,header,6,Resources,/resources/,http://127.0.0.1:3029/resources/,False,200,http://127.0.0.1:3029/resources
spain,390,default,header,7,About,/about/,http://127.0.0.1:3029/about/,False,200,http://127.0.0.1:3029/about
spain,390,default,header,8,RFQ,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,True,200,http://127.0.0.1:3029/request-a-quote
spain,390,default,header,9,Home,/,http://127.0.0.1:3029/,False,200,http://127.0.0.1:3029/
spain,390,default,header,10,Markets,/markets/,http://127.0.0.1:3029/markets/,False,200,http://127.0.0.1:3029/markets/
spain,390,default,header,11,Products,/products/,http://127.0.0.1:3029/products/,False,200,http://127.0.0.1:3029/products
spain,390,default,header,12,Applications,/applications/,http://127.0.0.1:3029/applications/,False,404,http://127.0.0.1:3029/applications
