source_id,path,bytes,sha256,query_role,read_scope,status
IN-P01,pages/markets/india/01_research/evidence/IN-P01.json,7550,06370103BA5100308B82753FBA94941294C9FAFE1FA5469BA5651CAA61263DE5,BODY_OPEN,L0-L173,SAVED_READ_BACK
IN-P02,pages/markets/india/01_research/evidence/IN-P02.json,437,D22AA2729347B80A07A1954F171782AE19A0124167A2F9DB89DC44EDC039C89B,BODY_OPEN,L0_TIMEOUT,FETCH_FAILED_PRESERVED
IN-P03,pages/markets/india/01_research/evidence/IN-P03.json,3991,5D374EED39107A46779F3AE77D24D2D145A7F68B9FBE6EE59A9AD020603821E2,BODY_OPEN,L0-L102,SAVED_READ_BACK
IN-P04,pages/markets/india/01_research/evidence/IN-P04.json,6625,65B9A81C63267E78738D73AEEF420D99477493B51509B962A3132DD196CA8192,BODY_OPEN,L0-L140,SAVED_READ_BACK
IN-P05,pages/markets/india/01_research/evidence/IN-P05.json,11679,6B3FFB0EE809BE1AC7F8AEBCF313D4651F6BBC15AB8694534C61221170B699F0,BODY_OPEN,L0-L230,SAVED_READ_BACK
IN-Q01,pages/markets/india/01_research/evidence/IN-Q01.json,32518,20A9C33DF886E37CE01177ED2C699ED0876982BCEA92F8B39E4EEAD63F652BE4,ORIGINAL_QUERY,COMPLETE_TOOL_RETURN,SAVED_READ_BACK
IN-Q02,pages/markets/india/01_research/evidence/IN-Q02.json,35385,690448218C89E7DBB5DCE2440E24B20FF4FB4EA5452FCDBD821BEDA75FDD9242,EXPANDED_QUERY,COMPLETE_TOOL_RETURN,SAVED_READ_BACK
IN-Q03,pages/markets/india/01_research/evidence/IN-Q03.json,31834,BBA706B41054FAF3286176341091017220B0E30D548293D1FAC5D4816BE1B8DB,EXPANDED_QUERY,COMPLETE_TOOL_RETURN,SAVED_READ_BACK

